ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
GACP782	782	GACP	Eddy flux	diag_sonic_aggregate		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP783	783	GACP	Eddy flux	no_sonic_head_Tot		samples	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP784	784	GACP	Eddy flux	no_new_sonic_data_Tot		samples	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP785	785	GACP	Eddy flux	sonic_amp_l_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP786	786	GACP	Eddy flux	sonic_amp_h_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP787	787	GACP	Eddy flux	sonic_sig_lck_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP788	788	GACP	Eddy flux	sonic_del_T_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP789	789	GACP	Eddy flux	sonic_aq_sig_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP790	790	GACP	Eddy flux	sonic_cal_err_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP791	791	GACP	Eddy flux	Fc_wpl		mg/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
