ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
UMRB6000	6000	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	NEE_F	Gapfilled Net Ecosystem Exchange	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6001	6001	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	RECO	Ecosystem Respiration	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6002	6002	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	GPP	Gross Primary Productivity	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6003	6003	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LE_F	Gapfilled Latent heat turbulent flux	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6004	6004	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TA	Air temperature	deg C	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	avg temp	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6005	6005	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	G	Soil heat flux	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6006	6006	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_1_1	Soil temperature	deg C	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6007	6007	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_2_1	Soil temperature	deg C	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6008	6008	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_3_1	Soil temperature	deg C	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6009	6009	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	TS_1_4_1	Soil temperature	deg C	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
