LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
WGEW	METEOROLOGY (EC)		Precipitation annual cumulative	mm	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Incoming long wave radiation	W/m2	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Incoming solar radiation	W/m2	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Outgoing long wave radiation	W/m2	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Outgoing global solar radiation	W/m2	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Net radiation	W/m2	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Saturated vapor pressure	kPa	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Temperature from sonic anemometer	deg C	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Friction velocity	m/s	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Vapor pressure deficit	kPa	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	METEOROLOGY (EC)		Height of eddy covariance sensors	m	30 minute	"2004,2007,2008, 2003"	Present	"Scott, Bryant"	CSV	http://ameriflux.lbl.gov/sites/site-search	"US-Wkg, US-Whs, US-SRG, US-SRM "		Open
WGEW	VEGETATION		Foliar cover by species	%	Experiment based	1994	Present	Holifield	XLS	https://www.tucson.ars.ag.gov/dap			Open
WGEW	VEGETATION		Ground cover	%	Experiment based	1994	Present	Holifield	XLS	https://www.tucson.ars.ag.gov/dap			Open
WGEW	MODELING		Rainfall Simulation - Rainfall rate	mm/hr	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	MODELING		Rainfall Simulation - Runon	mm/hr	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	MODELING		Rainfall Simulation - Discharge	mm/hr	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	MODELING		Rainfall Simulation - Sediment conc.	%	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	MODELING		Rainfall Simulation - Sediment discharge	g/s	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	MODELING		Rainfall Simulation - Flow velocity	m/s	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	MODELING		Rainfall Simulation - Ground Cover	%	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	MODELING		Rainfall Simulation - Vegeetation Cover	%	Experiment based	2002	2013	"Polyakov, Williams"	XLS	"https://www.tucson.ars.ag.gov/dap, https://data.nal.usda.gov/dataset/rainfall-simulation-experiments-southwestern-usa-using-walnut-gulch-rainfall-simulator"			Open
WGEW	PHENOLOGY		Phenocam RGB image	image	30 minute	2012	Present	"Scott, Bryant"	.JPG	https://phenocam.sr.unh.edu/webcam/sites 	"luckyhills, kendall"		Open
