ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
CMRB473	473	CMRB	EC Flux Towers	Temperature from sonic anemometer		Deg C	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB474	474	CMRB	EC Flux Towers	Friction velocity		m/s	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB475	475	CMRB	EC Flux Towers	Vapor pressure deficit		kPa	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB476	476	CMRB	EC Flux Towers	Height of eddy covariance sensors		m	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB477	477	CMRB	EC Flux Towers	Soil heat flux		W/m2	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB478	478	CMRB	EC Flux Towers	Soil temperature		Deg C	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB479	479	CMRB	EC Flux Towers	Soil vol. water content		decimal fraction	30 minutes	30 minute	2015-2017			Present	now	2019-12-31	120	Sadler, Winchester, Wood	Local, AmeriFlux (planned)				ASP, BAU, TP		Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
CMRB480	480	CMRB	Greenhouse Gases	Carbon dioxide		ppm, ng/cm2/hr	weekly (Apr-Jun), twice monthly (Jul-Mar)		2016	2016	2016-01-01	Present	now	2019-12-31	4	Lerch, Winchester	GRACEnet				SPARC		Greenhouse Gas Emissions	MeasGHGFlux	Carbon dioxide, air, daily, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
CMRB481	481	CMRB	Greenhouse Gases	Nitrous oxide		ppm, ng/cm2/hr	weekly (Apr-Jun), twice monthly (Jul-Mar)		2016	2016	2016-01-01	Present	now	2019-12-31	4	Lerch, Winchester	GRACEnet				SPARC		Greenhouse Gas Emissions	MeasGHGFlux	Nitrous oxide, air, daily, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
CMRB482	482	CMRB	Greenhouse Gases	Methane		ppm, ng/cm2/hr	weekly (Apr-Jun), twice monthly (Jul-Mar)		2016	2016	2016-01-01	Present	now	2019-12-31	4	Lerch, Winchester	GRACEnet				SPARC		Greenhouse Gas Emissions	MeasGHGFlux	Methane, air, daily, mean or single measurement	Greenhouse Gas Emissions				Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	
CMRB483	483	CMRB	Water Flow	Stage/Discharge		mm , ft3/sec	2-15 minutes		1970-2005			Present	now	2019-12-31	120	Baffaut, Lerch, Sudduth	Local, STEWARDS				GCEW, Centralia plots, ASP, BAU, Youngs creek, Upper Long Branch		Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	
CMRB484	484	CMRB	Meteorological	Barometric Pressure		kPa	5 minutes	5 minute	1993-2017	1993-2017	2015-01-01	Present	now	2019-12-31	5	Sadler, Winchester	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	Pressure	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB485	485	CMRB	Meteorological	Short Wave Radiation		W/m2	5 minutes	5 minute	1993-2017	1993-2017	2015-01-01	Present	now	2019-12-31	5	Sadler, Winchester	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	ave_incoming_shortwave radiation	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB486	486	CMRB	Meteorological	Photosynthetically Active Radiation		umol/sec/m^2	5 minutes	5 minute	1993-2017	1993-2017	2015-01-01	Present	now	2019-12-31	5	Sadler, Winchester	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	Solar radiation, vegetated ground, no media, daily, total	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB487	487	CMRB	Meteorological	Long Wave Radiation		W/m2	5 minutes	5 minute	1993-2017	1993-2017	2015-01-01	Present	now	2019-12-31	5	Sadler, Winchester	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	ave_incoming_longwave radiation	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB488	488	CMRB	Meteorological	Air Temperature		Deg C	2-60 minutes	0 minute	1993-2016			Present	now	2019-12-31	120	Sadler, Lerch	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB489	489	CMRB	Meteorological	Relative Humidity		%	2-60 minutes	0 minute	1993-2016			Present	now	2019-12-31	120	Sadler, Lerch	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	Relative humidity, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB490	490	CMRB	Meteorological	Wind Speed		m/sec	5-60 minutes	0 minute	1993-2017			Present	now	2019-12-31	120	Sadler, Winchester	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	Wind speed, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB491	491	CMRB	Meteorological	Wind Direction		Deg	5-60 minutes	0 minute	1993-2016			Present	now	2019-12-31	120	Sadler, Winchester	Local, NAL LTAR Data Portal				Legacy, SCAN, CMRB, ASP, BAU, TP, SPARC		Meteorology	WeatherDaily, WeatherStation	Wind direction air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB492	492	CMRB	Meteorological	Precipitation		mm	2-60 minutes	0 minute	1969-2015			Present	now	2019-12-31	120	Sadler, Baffaut	Local, NAL LTAR Data Portal, STEWARDS				SCAN, CMRB, GCEW		Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	
CMRB493	493	CMRB	Remote Sensing	imagery (visable)			30 minutes, x2 a year		2016-2017	2016-2017	2016-01-01	Present	now	2019-12-31	4	Kitchen, Sadler	Local, Phenocam Network				Phenocam, Drone		Remote Sensing	Remote Sensing				PhenoCam Network		Research, Technology and Engineering	imageryBaseMapsEarthCover	
CMRB494	494	CMRB	Remote Sensing	imagery (IR)			30 minutes, x2 a year		2016-2017	2016-2017	2016-01-01	Present	now	2019-12-31	4	Kitchen, Sadler	Local, Phenocam Network				Phenocam		Remote Sensing	Remote Sensing				PhenoCam Network		Research, Technology and Engineering	imageryBaseMapsEarthCover	
CMRB495	495	CMRB	Remote Sensing	imagery (NIR)			irregular	0 month	2016-2017	2016-2017	2016-01-01	Present	now	2019-12-31	4	Kitchen, Conway	Local				Drone		Remote Sensing	Remote Sensing				ARS Imagery Server		Research, Technology and Engineering	imageryBaseMapsEarthCover	
CMRB496	496	CMRB	Soils	nitrate-N		kg/ha	Every 5 years	5 year	2016	2016	2016-01-01	Present	now	2019-12-31	4	Lerch	Local				ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Nitrate nitrogen, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB497	497	CMRB	Soils	Soil temperature		Deg C	2 minutes	2 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4	Lerch	Local				ASP, BAU, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil temperature	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
