LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
LMRB	Water Quality	Bifenthrin 		ug/L	"Monthly, Event"	2004	Present	USDA-ARS NSL				BLW_BLW - 12 - 19 locations	
LMRB	Water Quality	I-Cyhalothrin		ug/L	"Monthly, Event"	2004	Present	USDA-ARS NSL				BLW_BLW - 12 - 19 locations	
LMRB	Lake	Suspended Solids		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	Turbidity		NTU	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	PO4-P		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	NH4-N		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	NO2-N		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	NO3-N		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	TDOC		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	TKN		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	TP		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	TOP		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	Chloro-A		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	DO		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	pH			Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	Salinity		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	Temperature		C	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	Lake	Dissolved Solids		mg/L	Bi-weekly	1995	Present	USDA-ARS NSL				BLW_BLW - 3 locations in lake	
LMRB	METEOROLOGY 	Air temperature		Deg C	daily	36188	Present	NRCS-SCAN				"GCEW / BLW_Max, Min, Mean"	
LMRB	METEOROLOGY 	Soil Moisture (% sat)		%	"hourly, instantaneous"	36188	Present	NRCS-SCAN				"GCEW / BLW_5 depths (2, 4, 8, 20, 40in)"	
LMRB	METEOROLOGY 	Soil Temp 		Deg C	"hourly, instantaneous"	36188	Present	NRCS-SCAN				"GCEW / BLW_5 depths (2, 4, 8, 20, 40in)"	
LMRB	METEOROLOGY 	Soil moisture volumetric content (15cm)		%	"hourly, instantaneous"	36188	Present	NRCS-SCAN				"GCEW / BLW_5 depths (2, 4, 8, 20, 40in)"	
LMRB	METEOROLOGY 	Salinity		Gram	"hourly, instantaneous"	36188	Present	NRCS-SCAN				"GCEW / BLW_5 depths (2, 4, 8, 20, 40in)"	
LMRB	METEOROLOGY 	Wind Direction		Degr	"hourly, average"	36188	Present	NRCS-SCAN				GCEW / BLW	
LMRB	METEOROLOGY 	Wind Speed (Avg)		mph	"hourly, averge"	36188	Present	NRCS-SCAN				GCEW / BLW	
LMRB	METEOROLOGY 	Wind Speed (max)		mph	"hourly, average"	36188	Present	NRCS-SCAN				GCEW / BLW	
LMRB	METEOROLOGY 	Relative Humidity		%	"hourly, instantaneous"	36188	Present	NRCS-SCAN				GCEW / BLW	
